Over_Drawn_MEAN,Missed_Payment_Date_MEAN,AMT_DRAWINGS_ATM_CURRENT_MEAN,AMT_BALANCE_MEAN,DAYS_BIRTH,CNT_DRAWINGS_CURRENT_MEAN,DAYS_CREDIT_ENDDATE_MEAN,DAYS_REGISTRATION,DAYS_CREDIT_ENDDATE_MIN,CREDIT_TYPE_Credit_card_MEAN,TARGET,SK_ID_CURR
0.0,0.0,0.0,0.0,-9464.0,0.0,-349.0,-3648.0,-1072.0,0.5,1.0,100002
0.0,0.0,0.0,0.0,-16770.0,0.0,-544.5,-1186.0,-2434.0,0.5,0.0,100003
0.0,0.0,0.0,0.0,-19040.0,0.0,-488.5,-4260.0,-595.0,0.0,0.0,100004
0.0,0.0,0.0,0.0,-19000.0,0.0,0.0,-9830.0,0.0,0.0,0.0,100006
0.0,0.2964,0.0,0.0,-19940.0,0.0,-783.0,-4310.0,-783.0,0.0,0.0,100007
0.0,0.02856,0.0,0.0,-16940.0,0.0,-391.2,-4970.0,-853.0,0.0,0.0,100008
0.0,0.0,0.0,0.0,-13780.0,0.0,-795.0,-1213.0,-2152.0,0.1111,0.0,100009
0.0,0.0,0.0,0.0,-18850.0,0.0,-119.5,-4596.0,-928.0,0.0,0.0,100010
0.04053,0.1461,2432.4324,54482.11,-20100.0,0.05405,-1293.0,-7428.0,-2172.0,0.25,0.0,100011
0.0,0.1042,0.0,0.0,-14470.0,0.0,0.0,-14440.0,0.0,0.0,0.0,100012
0.0,0.4211,0.0,0.0,-10200.0,0.0,-387.5,-4428.0,-2004.0,0.0,0.0,100014
0.0,0.1,0.0,0.0,-20420.0,0.0,-598.0,-5250.0,-1045.0,0.0,0.0,100015
0.0,0.2028,0.0,0.0,-13440.0,0.0,-217.1,-311.0,-1369.0,0.1428,0.0,100016
0.0,0.0,0.0,0.0,-14090.0,0.0,-1512.0,-643.0,-2546.0,0.1666,0.0,100017
